TF AGI	Type	Promoter AGI
AT2G36270	tfPromoter	AT1G19220
AT3G16857	tfPromoter	AT1G19220
AT3G62670	tfPromoter	AT1G19220
AT1G61730	tfPromoter	AT1G19220
AT1G64380	tfPromoter	AT1G19220
AT1G68360	tfPromoter	AT1G19220
AT1G72570	tfPromoter	AT1G19220
AT1G76580	tfPromoter	AT1G19220
AT1G80580	tfPromoter	AT1G19220
AT2G18490	tfPromoter	AT1G19220
AT3G11580	tfPromoter	AT1G19220
AT3G12910	tfPromoter	AT1G19220
AT3G12977	tfPromoter	AT1G19220
AT4G00238	tfPromoter	AT1G19220
AT4G00270	tfPromoter	AT1G19220
AT4G00390	tfPromoter	AT1G19220
AT4G31615	tfPromoter	AT1G19220
AT4G33280	tfPromoter	AT1G19220
AT5G05550	tfPromoter	AT1G19220
AT5G10120	tfPromoter	AT1G19220
AT5G25470	tfPromoter	AT1G19220
AT5G54360	tfPromoter	AT1G19220
AT4G34590	tfPromoter	AT1G19220
AT1G75390	tfPromoter	AT1G19220
AT3G44460	tfPromoter	AT1G19220
AT4G25470	tfPromoter	AT1G19220
AT3G50260	tfPromoter	AT1G19220
AT1G68550	tfPromoter	AT1G19220
AT1G76420	tfPromoter	AT1G19220
AT1G21910	tfPromoter	AT1G19220
AT5G05410	tfPromoter	AT1G19220
AT3G25730	tfPromoter	AT1G19220
AT2G41070	tfPromoter	AT1G19220
AT3G20770	tfPromoter	AT1G19220
AT1G28370	tfPromoter	AT1G19220
AT3G15210	tfPromoter	AT1G19220
AT5G25190	tfPromoter	AT1G19220
AT1G12980	tfPromoter	AT1G19220
AT1G14350	tfPromoter	AT1G19220
AT5G39760	tfPromoter	AT1G19220
AT1G14687	tfPromoter	AT1G19220
AT3G28920	tfPromoter	AT1G19220
AT4G36740	tfPromoter	AT1G19220
AT5G52170	tfPromoter	AT1G19220
AT3G51910	tfPromoter	AT1G19220
AT3G26744	tfPromoter	AT1G19220
AT4G02670	tfPromoter	AT1G19220
AT1G16530	tfPromoter	AT1G19220
AT4G00210	tfPromoter	AT1G19220
AT3G46640	tfPromoter	AT1G19220
AT4G33450	tfPromoter	AT1G19220
AT4G37260	tfPromoter	AT1G19220
AT1G56650	tfPromoter	AT1G19220
AT3G50060	tfPromoter	AT1G19220
AT1G66390	tfPromoter	AT1G19220
AT2G24430	tfPromoter	AT1G19220
AT3G10500	tfPromoter	AT1G19220
AT3G18400	tfPromoter	AT1G19220
AT5G39610	tfPromoter	AT1G19220
AT5G06960	tfPromoter	AT1G19220
AT1G30490	tfPromoter	AT1G19220
AT5G10510	tfPromoter	AT1G19220
AT4G18020	tfPromoter	AT1G19220
AT5G13330	tfPromoter	AT1G19220
AT4G31610	tfPromoter	AT1G19220
AT2G40140	tfPromoter	AT1G19220
AT5G65210	tfPromoter	AT1G19220
AT4G32570	tfPromoter	AT1G19220
